id,name,parent_id,position
354,Taxidermy,26,12
347,Glass,26,5
352,Quilts,26,10
336,Flight,16,6
255,Residencies,6,2
257,Workshops,6,4
317,Chiptune,14,2
268,Pet Fashion,9,7
358,Photo,13,2
305,Community Gardens,10,2
330,Family,11,7
360,Video,13,4
304,Bacon,10,1
279,Places,15,6
386,Comedy,14,4
353,Stationery,26,11
251,Events,3,3
41,Jazz,14,10
260,Interactive Design,7,4
310,Farmer's Markets,10,6
256,Spaces,6,3
49,Periodicals,18,10
306,Cookbooks,10,3
295,Festivals,11,9
348,Knitting,26,6
283,Immersive,17,4
316,Blues,14,1
275,Animals,15,1
286,Spaces,17,7
6,Dance,,4
287,Ceramics,1,1
38,Electronic Music,14,6
329,Zines,18,15
298,Movie Theaters,11,11
53,Public Art,1,9
270,Gaming Hardware,12,1
322,R&B,14,16
288,Installations,1,5
300,Romance,11,14
333,Camera Equipment,16,3
265,Couture,9,4
241,Metal,14,13
331,3D Printing,16,1
351,Printing,26,9
301,Science Fiction,11,15
27,Graphic Design,7,3
290,Video Art,1,12
289,Textiles,1,11
356,Woodworking,26,14
285,Plays,17,6
328,Young Adult,18,14
264,Childrenswear,9,3
3,Comics,,2
297,Horror,11,10
272,Mobile Games,12,3
346,Embroidery,26,4
269,Ready-to-wear,9,8
276,Fine Art,15,2
25,Sculpture,1,10
291,Action,11,1
326,Literary Journals,18,8
296,Fantasy,11,8
299,Music Videos,11,12
13,Journalism,,10
308,Events,10,5
280,Photobooks,15,5
343,Candles,26,1
321,Punk,14,15
341,Wearables,16,14
350,Pottery,26,8
349,Letterpress,18,7
292,Comedy,11,3
281,Experimental,17,2
320,Latin,14,12
323,Academic,18,1
33,Webseries,11,19
36,Classical Music,14,3
359,Print,13,3
282,Festivals,17,3
339,Sound,16,12
284,Musical,17,5
309,Farms,10,7
388,Comedy,17,1
334,DIY Electronics,16,4
325,Calendars,18,4
302,Thrillers,11,18
294,Experimental,11,6
271,Live Games,12,2
249,Anthologies,3,1
261,Typography,7,6
277,Nature,15,3
42,Pop,14,14
253,Webcomics,3,5
340,Space Exploration,16,13
39,Hip-Hop,14,8
40,Indie Rock,14,9
327,Translations,18,13
15,Photography,,12
362,Makerspaces,16,9
239,Radio & Podcasts,18,12
338,Robots,16,10
315,Vegan,10,12
54,Mixed Media,1,6
307,Drinks,10,4
335,Fabrication Tools,16,5
24,Performance Art,1,8
29,Animation,11,2
11,Film & Video,,7
31,Narrative Film,11,13
20,Conceptual Art,1,2
324,Anthologies,18,2
47,Fiction,18,7
314,Spaces,10,11
389,Literary Spaces,18,16
387,Comedy,18,6
357,Audio,13,1
254,Performances,6,1
44,World Music,14,18
50,Poetry,18,11
274,Puzzles,12,5
311,Food Trucks,10,8
361,Web,13,5
345,DIY,26,3
51,Software,16,11
312,Restaurants,10,9
12,Games,,9
278,People,15,4
344,Crochet,26,2
342,Web,16,15
37,Country & Folk,14,5
17,Theater,,15
23,Painting,1,7
10,Food,,8
259,Civic Design,7,2
46,Children's Books,18,5
52,Hardware,16,8
293,Drama,11,5
48,Nonfiction,18,9
9,Fashion,,6
21,Digital Art,1,3
262,Accessories,9,1
32,Shorts,11,16
250,Comic Books,3,2
45,Art Books,18,3
263,Apparel,9,2
319,Kids,14,11
18,Publishing,,13
267,Jewelry,9,6
303,Television,11,17
34,Tabletop Games,12,6
30,Documentary,11,4
332,Apps,16,2
258,Architecture,7,1
273,Playing Cards,12,4
252,Graphic Novels,3,4
14,Music,,11
7,Design,,5
43,Rock,14,17
318,Faith,14,7
1,Art,,1
28,Product Design,7,5
266,Footwear,9,5
26,Crafts,,3
313,Small Batch,10,10
337,Gadgets,16,7
355,Weaving,26,13
22,Illustration,1,4
35,Video Games,12,7
16,Technology,,14
